Date,The Bronx,Brooklyn,Manhattan,Queens,Staten Island,Deaths
3/18/20,96,157,277,248,36,11
3/19/20,436,1030,976,980,165,26
3/20/20,667,1518,1314,1406,242,
3/21/20,1071,2484,1868,2254,437,60
3/22/20,1411,2857,2072,2715,593,99
3/23/20,1829,3494,2572,3621,817,125
3/24/20,2505,4407,3013,4667,999,192
3/25/20,3542,5232,3616,6420,1166,280
3/26/20,4243,6095,4046,7362,1330,365
3/27/20,4880,7091,4627,8529,1534,450
3/28/20,5752,8129,5237,9831,1781,672
3/29/20,6250,8887,5582,10737,1984,776
3/30/20,6925,10171,6060,12756,2140,914
3/31/20,7814,11160,6539,13869,2354,1096
4/1/20,8607,12274,7022,15217,2552,1374
4/2/20,9343,13290,7398,16819,2822,1562
4/3/20,10765,15327,8222,18823,3117,1867
4/4/20,11820,16488,8781,20371,3355,2254
4/5/20,12738,17520,9251,21781,3628,2472
4/6/20,13680,18434,9691,23083,3851,2738
4/7/20,14941,20235,10254,24809,4325,3544
4/8/20,16419,21580,10862,26204,5102,4260
4/9/20,18736,23408,11486,27759,6298,4778
4/10/20,20543,24846,12201,29754,7027,5429
4/11/20,21523,26042,12712,31044,7358,5742
4/12/20,22709,27462,13431,32749,8004,6182
04/13/20,23352,28035,13705,33468,8198,6182
4/14/20,23426,28183,13740,33616,8236,6589
4/15/20,24587,29250,14188,34831,8504,6840
4/16/20,25638,31279,15539,36220,8822,7563
4/17/20,27014,32499,15952,37447,9166,7890
4/18/20,28016,33729,16404,38733,9414,8448
4/19/20,28875,34476,16754,39856,9755,8811
4/20/20,29505,35203,16987,40714,9986,9101
04/21/20,30142,35775,17200,41520,10166,9562
04/22/20,31130,36699,17495,42637,10405,9944
04/23/20,31911,37564,17803,43824,10582,10290
